"","TitleLong","Week","Title","Vote","Count"
"1"," [25th Hour (2002, 2:15)]","2022-01-17","TwentyFifthHr","I do not love this film but would still show up",8
"2"," [7 Days in Hell (2015, 0:42)]","2020-12-14","SevenDaysInHell","I do not love this film but would still show up",6
"3"," [A Simple Favor (2018, 1:57)]","2021-07-19","SimpleFavor","I do not love this film but would still show up",2
"4"," [A Simple Favor (2018, 1:57)]","2021-07-26","ASimpleFavor","I do not love this film but would still show up",5
"5"," [Addams Family Values (1993, 1:34)]","2020-10-19","AddamsFamilyValues","I do not love this film but would still show up",9
"6"," [Addams Family Values (1993, 1:34)]","2020-11-02","AddamsFamilyValues","I do not love this film but would still show up",7
"7"," [Air Bud (1997, 1:37)]","2021-09-06","AirBud","I do not love this film but would still show up",9
"8"," [Air Bud (1997, 1:37)]","2021-09-27","AirBud","I do not love this film but would still show up",7
"9"," [Air Bud (1997, 1:37)]","2021-10-11","AirBud","I do not love this film but would still show up",10
"10"," [Air Bud (1997, 1:37)]","2021-11-08","AirBud","I do not love this film but would still show up",5
"11"," [Airheads (1994, 1:32)]","2021-09-27","Airheads","I do not love this film but would still show up",9
"12"," [Amelie (2001, 2:02)]","2020-12-14","Amelie","I do not love this film but would still show up",6
"13"," [American Pie (1999, 1:36)]","2022-01-17","AmericanPie","I do not love this film but would still show up",8
"14"," [Anaconda (1997, 1:29)]","2021-03-08","Anaconda","I do not love this film but would still show up",9
"15"," [Anaconda (1997, 1:29)]","2021-11-01","Anaconda","I do not love this film but would still show up",6
"16"," [Anaconda (1997, 1:29)]","2021-12-06","Anaconda","I do not love this film but would still show up",4
"17"," [Andrew Flemings The Craft]","2020-10-26","AndrewFlemingsTheCraft","I do not love this film but would still show up",4
"18"," [Anna and the Apocalypse (2018, 1:33)]","2021-02-08","AnnaApocalypse","I do not love this film but would still show up",7
"19"," [Atari: Game Over (2014, 1:06)]","2021-07-05","Atari","I do not love this film but would still show up",7
"20"," [Atomic Blonde (2017, 1:55)]","2021-01-11","AtomicBlonde","I do not love this film but would still show up",11
"21"," [Batman Forever (1995, 2:02)]","2021-08-23","BatmanForever","I do not love this film but would still show up",4
"22"," [Batman Returns (1992, 2:03)]","2021-08-30","BatmanReturns","I do not love this film but would still show up",4
"23"," [Be Kind Rewind (2008, 1:42)]","2021-01-25","BeKindRewind","I do not love this film but would still show up",5
"24"," [Beauty Day (2011, 1:32)]","2021-08-16","BeautyDay","I do not love this film but would still show up",5
"25"," [Beauty.Day (2011)]","2021-09-13","BeautyDay","I do not love this film but would still show up",6
"26"," [Bedknobs and Broomsticks (1971, 1:57)]","2020-09-21","BedknobsAndBroom","I do not love this film but would still show up",4
"27"," [Beetlejuice (1988, 1:32)]","2020-10-19","Beetlejuice","I do not love this film but would still show up",10
"28"," [Bend It Like Beckham (2002, 1:52)]","2021-09-20","BendItLikeBeckham","I do not love this film but would still show up",6
"29"," [Bend It Like Beckham (2002, 1:52)]","2021-10-04","BendItLikeBeckham","I do not love this film but would still show up",6
"30"," [Bend It Like Beckham (2002, 1:52)]","2021-11-15","BendItLikeBeckham","I do not love this film but would still show up",3
"31"," [Bi Hard (1988, 2:12)]","2020-12-28","BiHard","I do not love this film but would still show up",3
"32"," [Bill & Ted Face The Music (2020, 1:32)]","2021-04-12","BillAndTed3","I do not love this film but would still show up",4
"33"," [Bill & Ted Face The Music Without Fat Suits (2020, 1:32)]","2022-01-03","BillAndTed","I do not love this film but would still show up",4
"34"," [Bill & Ted's Bogus Journey (1991, 1:34) (flyer's no-homophobia edit)]","2020-10-05","BillAndTed2","I do not love this film but would still show up",8
"35"," [Bill and Ted's Excellent Adventure (1989, 1:30)]","2020-09-21","BillAndTed1","I do not love this film but would still show up",6
"36"," [Birdman (2014, 1:59)]","2021-08-30","Birdman","I do not love this film but would still show up",7
"37"," [Black Dynamite (2009, 1:24)]","2021-08-02","BlackDynamite","I do not love this film but would still show up",5
"38"," [Black Swan (2010, 1:48)]","2021-11-08","BlackSwan","I do not love this film but would still show up",5
"39"," [Blade II (2002, 1:57)]","2020-10-12","BladeII","I do not love this film but would still show up",10
"40"," [Blast from the Past (1999, 1:52)]","2021-10-04","BlastFromThePast","I do not love this film but would still show up",4
"41"," [Blazing Saddles (1974, 1:33)]","2021-12-27","BlazingSaddles","I do not love this film but would still show up",9
"42"," [Blazing Saddles (1974, 1:33)]","2022-01-17","BlazingSaddles","I do not love this film but would still show up",8
"43"," [Blazing Saddles (1974, 1:33)]","2022-02-07","BlazingSaddles","I do not love this film but would still show up",6
"44"," [Blinded by the Light (2019, 1:58)]","2021-11-15","BlindedByTheLight","I do not love this film but would still show up",7
"45"," [Blinded by the Light (2019, 1:58)]","2021-11-22","BlindedByTheLight","I do not love this film but would still show up",7
"46"," [Blue Crush (2002, 1:44)]","2021-05-10","BlueCrush","I do not love this film but would still show up",5
"47"," [Blue Crush (2002, 1:44)]","2021-05-17","BlueCrush","I do not love this film but would still show up",6
"48"," [Bob.Ross.Happy.Accidents.Betrayal.and.Greed (2021)]","2021-09-13","BobRoss","I do not love this film but would still show up",9
"49"," [Boondock Saints (1999, 1:48)]","2021-04-26","BoondockSaints","I do not love this film but would still show up",6
"50"," [Bridesmaids (2011, 2:10)]","2020-09-28","Bridesmaids","I do not love this film but would still show up",3
"51"," [Bridesmaids (2011, 2:10)]","2021-11-15","Bridesmaids","I do not love this film but would still show up",5
"52"," [Bringing Up Baby (1938, 1:42)]","2021-11-08","BringingUpBaby","I do not love this film but would still show up",3
"53"," [Bubba Ho-Tep (2002, 1:36) -]","2021-02-22","Bubba Ho-Tep","I do not love this film but would still show up",8
"54"," [Bubba Ho-Tep (2002, 1:36)]","2021-02-01","BubbaHoTep","I do not love this film but would still show up",5
"55"," [Bubba Ho-Tep (2002, 1:36)]","2021-03-22","BubbaHoTep","I do not love this film but would still show up",8
"56"," [Butt Boy (2019, 1:39)]","2021-01-11","ButtBoy","I do not love this film but would still show up",5
"57"," [Cabin in the Woods (2011, 1:35)]","2021-11-01","CabinInTheWoods","I do not love this film but would still show up",7
"58"," [Cats (2019, 1:50)]","2020-12-07","Cats","I do not love this film but would still show up",6
"59"," [Catwoman (2004, 1:44)]","2021-01-11","Catwoman","I do not love this film but would still show up",4
"60"," [Cecil B. Demented (2000, 1:24)]","2022-01-24","CecilBDemented","I do not love this film but would still show up",5
"61"," [Cheech & Chong: Up In Smoke (1978, 1:26)]","2021-04-19","CheechAndChong","I do not love this film but would still show up",6
"62"," [Chicago (2002, 1:53)]","2021-12-13","Chicago","I do not love this film but would still show up",7
"63"," [Circus of Books (2016, 1:26)]","2021-07-05","CircusOfBooks","I do not love this film but would still show up",8
"64"," [Circus of Books (2019, 1:27)]","2021-08-16","CircusOfBooks","I do not love this film but would still show up",7
"65"," [Class Action Park (2020, 1:29)]","2021-08-16","ClassActionPark","I do not love this film but would still show up",3
